Time,Resistance,Cycle
0.341,72724416.64109191,Pre-Cycle
1.873,14235787.345808627,Pre-Cycle
3.393,16497719.025367554,Pre-Cycle
4.928,12113160.173286024,Pre-Cycle
6.501,-17892240.403720513,Pre-Cycle
8.012,12052512.798262028,Pre-Cycle
9.549,-13873481.61680445,Pre-Cycle
11.125,-12500135.938978337,Run-On Cycle (Repeat 1)
12.984,-15675104.000396268,Run-On Cycle (Repeat 1)
14.518,-2486485330.60682,Run-On Cycle (Repeat 1)
16.033,33702374.33227171,Run-On Cycle (Repeat 1)
17.574,-13876047.763021529,Run-On Cycle (Repeat 1)
19.11,-202867697.19399488,Run-On Cycle (Repeat 1)
20.604,-12442131.645715777,Run-On Cycle (Repeat 1)
22.153,69624258.76273514,Off Cycle (Repeat 1)
24.02,-11948424.863047153,Off Cycle (Repeat 1)
25.559,16359168.823350422,Off Cycle (Repeat 1)
27.087,-11787664.091651447,Off Cycle (Repeat 1)
28.625,13828093.292614209,Off Cycle (Repeat 1)
30.202,-18506941.398510337,Off Cycle (Repeat 1)
31.78,86183196.17277662,Off Cycle (Repeat 1)
33.278,-11714954.537775924,Run-On Cycle (Repeat 2)
35.181,11739898.78563661,Run-On Cycle (Repeat 2)
36.716,30689946.832736105,Run-On Cycle (Repeat 2)
38.251,-29471070.9020918,Run-On Cycle (Repeat 2)
39.748,23246974.696830392,Run-On Cycle (Repeat 2)
41.3,-13416148.535010245,Run-On Cycle (Repeat 2)
42.83,-14462539.4917719,Run-On Cycle (Repeat 2)
44.349,13600695.811597722,Off Cycle (Repeat 2)
46.197,-13439996.731392791,Off Cycle (Repeat 2)
47.726,12144144.682425153,Off Cycle (Repeat 2)
49.295,26827762.011996303,Off Cycle (Repeat 2)
50.817,-13474955.111555783,Off Cycle (Repeat 2)
52.347,11735547.878160134,Off Cycle (Repeat 2)
53.881,91016490.36772482,Off Cycle (Repeat 2)
